brand,average_price
Lanvin,298.495
Laredo,119.36923076923077
Latico Leathers,122.99
Lauren Ralph Lauren,34.99
Lee,16.59
Leg Avenue,131.15153846153845
"Leg Avenue, Inc.",59.97666666666667
Lencca,105.16666666666667
Les Miserables,53.785
Levi Strauss,18.13
Levi's,41.3305
Lexmark,326.49
Liberty,2900.0
Licenced,74.24
Lifeguard,66.11500000000001
London Fog,64.99
Loro Piana,80.0
Lotto,175.0
Louis Vuitton,1458.0
Lowa,219.95
Lucchese,535.495
Lucien Piccard,322.495
Lucky Brand,97.442
Lugz,60.995000000000005
Luminox,664.596
MARC JACOBS,349.95
MARTIN TOOLS SPROCKET GEAR INC,19.9375
MAUI AND SONS,16.192
MCR Safety,56.98333333333333
MEPHISTO,271.995
MEZLAN,147.0
MG,10.366666666666667
MG:GN,16.99
MICHAEL Michael Kors,41.99
MIKO LOTTI,39.99
MIKOLOTI,33.655
MILWAUKEE ELECTRIC TOOL,266.625
MLB,16.59
MO&Y,46.99
MOD Activewear,65.0
MOUNTAIN GEAR,52.24
MR.CHAOS,34.99
MSA,22.95
MUCK BOOTS,100.675
MUK LUKS,32.23103448275862
Madden,52.46
Maelstrom Tactical,59.99
Magic show,14.49
Magid Glove Safety,98.33500000000001
Magid Glove and Safety (Industrial),57.49
Magnanni,149.99
Magnum,109.30999999999999
Maison Martin Margiela,440.49
Majestic Glove,15.29
Mancini Leather Goods,127.99000000000001
Mapa professional,155.75947368421052
Marc Ecko Cut & Sew,73.745
Marc Gold,117.205
Marc Jacobs,299.98
Margaritaville,23.99
Mark Nason,89.65833333333335
Marvel,25.0
Masimo Capori,36.99
Masimo New York,27.495
Massimo Matteo,86.32333333333334
Maui Jim,191.71864864864864
Maurice Lacroix,1989.9
Maximum Safety,54.835
McDavid,55.6375
McRae Footwear,188.95
Mechanix Wear,22.0
Medline,22.064285714285713
Mega Cap,5.029999999999999
Memphis Glove,13.07
Mens,39.95
Mens High Waist Pants Slimming Pants,25.0
MensUSA.com,249.54545454545453
